Question Number,Question ID,Category,Question,Reviewer Answer,Agreement Label,Reviewer Notes,Reviewer ID,Adjudication Status
24,F024,FACTUAL,What global GHG emission reduction does IPCC AR6 WG3 recommend by 2030 to limit warming to 1.5 degrees Celsius?,"~43% reduction in net global GHG emissions by 2030 (relative to 2019; range 34–60%), for pathways limiting warming to 1.5°C (>50%) with no or limited overshoot",Full,,Reviewer 1,Not formally adjudicated
64,G009,GAP DETECTION,Is there a contradiction between China's 2060 carbon neutrality commitment and IPCC AR6's recommendation for achieving net zero CO2 by around 2050?,"Based only on this document, the question cannot be answered. The document states China's commitment — peak CO2 before 2030 and carbon neutrality before 2060 (PDF pp.5, 8) — and defends this differentiated timeline on equity/CBDR grounds (PDF pp.8–9, 49–50). But it never states IPCC AR6's ""net zero by ~2050"" recommendation; its only IPCC references (AR5 on p.29, AR6 author count on p.53) give no target year. With no IPCC benchmark in the text, no contradiction can be identified from this document alone.",Partial,"consistent on the raw numbers, divergent on sourcing scope and on how confidently a ""contradiction"" can be declared.",Reviewer 1,Not formally adjudicated
42,C012,COMPARATIVE,How do India's and China's NDC submissions reference the principle of common but differentiated responsibilities (CBDR)?,"Both India and China invoke CBDR but with different emphasis. India frames it around climate justice, highlighting its per capita emissions of only 1.56 metric tonnes against 7–15 metric tonnes in developed countries, and quotes its Prime Minister that CBDR is ""the bedrock of our collective enterprise"", making its INDC contingent on developed country finance and technology transfer. China frames CBDR as a legal and structural obligation, demanding it be embedded in the Paris Agreement text, clearly stating developed countries must take ""economy-wide absolute quantified emission reduction targets"" while developing countries act only when ""supported and enabled by finance, technology and capacity building."" Both agree developed countries must lead, but India uses CBDR to protect its development rights while China uses it to enforce binding differentiated obligations.",Partial,"The existing answer captures the broad difference correctly but misses key document-specific evidence such as India's 1.56 metric tonnes per capita emission figure, the PM's direct CBDR quote, and China's legal demand for ""economy-wide absolute quantified emission reduction targets",Reviewer 1,Not formally adjudicated
56,G001,GAP DETECTION,What is the gap between China's 2030 non-fossil energy target and IPCC AR6 recommendations for the energy sector?,"China aims for non-fossil sources to account for about 25% of primary energy consumption by 2030. IPCC AR6 scenarios indicate that a 1.5°C-consistent pathway would require roughly 31–41% non-fossil energy by 2030, whereas a 2°C pathway requires around 25–29%. As a result, China's target is broadly in line with the lower range of 2°C pathways but remains below the levels typically associated with a 1.5°C trajectory, leaving an estimated shortfall of 6–16 percentage points relative to 1.5°C benchmarks.",Full,raw/NDC/China/NDC2_2021_China.pdf  raw/IPCC_AR6/WG3/WG3_Chapter06_EnergySystems_2022.pdf  raw/IPCC_AR6/WG3/WG3_SPM_2022.pdf,Reviewer 1,Not formally adjudicated
39,C009,COMPARATIVE,How did China's renewable energy target evolve between NDC1 (2016) and NDC2 (2021)?,"China's NDC1 (2015) set a target of 20% non-fossil fuels in primary energy consumption by 2030, along with a 200 GW solar capacity goal. NDC2 (2021) strengthened this by raising the non-fossil fuel share to 25% and introducing a much more ambitious combined wind and solar capacity target of over 1,200 GW by 2030. While the energy mix target saw a modest 5 percentage point increase, the capacity target represents a dramatic scale-up, reflecting China's accelerated renewable energy ambitions over the five-year period.",Full,,Reviewer 1,Not formally adjudicated
28,F028,FACTUAL,How did India's NDC2 (2022) update its renewable energy target compared to NDC1 (2015)?,Confirmed in NDC2_2022_India: 'about 50 percent' non-fossil installed capacity by 2030 (40% in NDC1) and emissions intensity 45% below 2005 (33-35% in NDC1).,Full,,Reviewer 1,Not formally adjudicated
10,F010,FACTUAL,What is the European Union's binding 2030 greenhouse gas reduction target under its NDC2?,EU's Binding 2030 Greenhouse Gas Reduction Target  The EU and its Member States are committed to a binding target of a net domestic reduction of at least 55% in greenhouse gas emissions by 2030 compared to 1990 levels.,Full,,Reviewer 1,Not formally adjudicated
79,G024,GAP DETECTION,What is the gap between G20 developed nations' climate finance commitments in their NDC2 and the IPCC-identified needs of developing nations?,Gap = ~USD 394 billion/year (5× underfunded)    Delivered: USD 79.6B/year (2019)  IPCC need: USD 474B/year by 2030  Own $100B pledge: never met — $20.4B short  NDC2 texts: no finance commitments from any G20 developed nation except UK (£11.6B/5 years)    Sources: WG3_Chapter14 · WG2_Chapter17 · G20 NDC2 files,Partial,"Correct on the $100B gap and absent NDC2 commitments, but the $2.4 trillion figure and ""24× underfunding"" claim do not exist in your documents; the correct figure is $474B/year (5× gap).",Reviewer 1,Not formally adjudicated
67,G012,GAP DETECTION,Identify the gap between India's agriculture sector NDC commitments and IPCC AR6 recommendations for agricultural emissions.,"Gap: India Agriculture NDC2 vs. IPCC AR6  India NDC2: Agriculture mentioned once — adaptation only, zero quantified mitigation targets for CH₄/N₂O.  IPCC AR6 recommends: 1.8–4.1 GtCO₂-eq/yr reduction from crop & livestock management, 50% achievable at under USD 20/tCO₂-eq — near-term, low-cost.  Gap = Complete structural absence, not a shortfall in degree  India reframes agriculture as a climate victim; IPCC identifies it as one of the most cost-effective mitigation opportunities — especially critical given India holds the world's largest livestock population and extensive rice paddy coverage.  Sources: NDC2_2022_India.pdf · WG3_SPM_2022.pdf · WG3_Chapter02",Partial,"Correct on missing quantified targets and adaptation framing, but ""20–30% mitigation by 2050"" and ""14% of national emissions"" are not found anywhere in your documents.",Reviewer 1,Not formally adjudicated
44,C014,COMPARATIVE,"Compare the structural quality of Indonesia's NDC2 versus Turkey's NDC2 in terms of specificity, measurability, and time-bound targets.","Indonesia's NDC2 is more structured and detailed: sector-specific targets (energy, transport, forestry, agriculture, waste), both unconditional (29%) and conditional (41%) targets backed by a full sector-by-sector reduction table (Table 1, p22), and a dedicated adaptation annex. Turkey's NDC2 gives a single economy-wide 41%-vs-BAU target with no sector breakdown, but stronger time-bound anchors (base year 2012, peak by 2038, net-zero by 2053, quantified BAU of 1,175 Mt incl. LULUCF). Indonesia scores higher on measurability and specificity; Turkey on time-bound clarity.",Partial,"Agree: Indonesia is more structured (sector-specific targets, conditional/unconditional split, adaptation annex) and higher on specificity; Turkey gives one 41%-vs-BAU target with no sector breakdown.    Disagree: percentages are wrong — this 2021 doc says 29%/41% (p22), not 31.89%/43.20% (those are the 2022 Enhanced NDC). And ""Just Transition"" is Indonesia's strength, not Turkey's.",Reviewer 1,Not formally adjudicated
54,C024,COMPARATIVE,Compare the transparency and reporting commitments in Japan's and South Korea's NDC2 submissions.,"Japan offers stronger technical transparency — detailed sector-by-sector emission breakdowns using updated IPCC Fourth Assessment GWPs, with annual Prime Minister-led reviews. South Korea offers stronger institutional transparency — legally binding targets under the Carbon Neutrality Act (2021) and a more inclusive review process through the 2050 Carbon Neutrality Commission involving civil society and youth. Both submit annual progress reports publicly, but Japan is more methodologically rigorous while South Korea is more legislatively and participatorily robust.",Partial,"The points on Japan's legislative grounding and South Korea's K-ETS monitoring linkage are reasonable. However, neither document explicitly mentions ""biennial transparency reporting"" — that term does not appear in either NDC2 text. Also, Japan's ""Basic Environment Plan"" is not referenced in the uploaded Japan NDC2 document. These appear to be external knowledge claims not supported by the uploaded documents, which was the agreed basis for this analysis.",Reviewer 1,Not formally adjudicated
18,F018,FACTUAL,What are Mexico's unconditional and conditional GHG reduction targets under its NDC2?,"Mexico's NDC2 targets:  GHG emissions: 35% unconditional reduction by 2030 (30% domestic + 5% international), rising to up to 40% conditional on international support.  Black carbon: 51% unconditional, 70% conditional by 2030.  Baseline: 991 MtCO₂e (2030). The 35% equals 347 MtCO₂e avoided; conditional commitments total 397 MtCO₂e.",Partial,More details needed in your answer,Reviewer 1,Not formally adjudicated
