Cell ID,Entity,Dimension Code,Policy Dimension,What to Assess,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Figure 2 System Score,Figure 2 System Class,Human Classification,Human Confidence,Reviewer Rationale,Evidence Sufficient?,Suggested Action,Cut-off Flag,Exact Match,Reviewer ID,Review Date,Review Scope
GC-006,Argentina,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"Second NDC, '2030 Vision — Transport' section, ~p.20","Commits qualitatively to intermodality, active mobility via urban land-use planning, and 'sustainable energy matrices ... focusing on gasification, biofuels, electrification of mobility and use of hydrogen,' with an 'Avoid-Shift-Improve approach' by 2030 — no quantified sectoral emissions or electrification target. Natural gas is framed as a transition fuel.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0.7,Significant,Not Comparable,Medium,"A qualitative Avoid-Shift-Improve commitment exists and is directionally aligned with AR6's demand/modal-shift + electrification logic, but sets no numeric target, so it cannot be meaningfully harmonised against AR6's quantified 59%-by-2050 metric — scope/metric mismatch rather than absence.",Partly,Not Comparable,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-013,Australia,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,Transport Sector Plan 2025 (Dept. of Infrastructure); Net Zero Plan; National Electric Vehicle Strategy / New Vehicle Efficiency Standard,Sets 5 qualitative 'priority actions' (electrify and increase transport energy performance; switch to low-carbon liquid fuels where electrification isn't feasible; invest in enabling infrastructure; innovate; reduce embodied emissions) aiming to 'prevent transport from becoming the top emissions source by 2030' — no quantified transport-sector emissions-reduction percentage or electrification-share target found in the primary plan text.,IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"The system's default score (0.00 → 'Aligned') looks like a placeholder for missing data rather than a genuine evaluation — the Transport Sector Plan is real and directionally matches AR6's electrification logic, but sets no numeric target, so it cannot be meaningfully benchmarked against AR6's quantified 59%-by-2050 figure.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-020,Brazil,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2035 NDC (Nov 2024), transport sectoral mitigation plan text; RenovaBio (National Biofuels Policy, Law 13,576/2017); Future Fuel Law (Law 14,993/2024)","NDC transport plan commits to 'replacing fossil fuels with electricity and biofuels,' with hydrogen anticipated by 2035 and sub-sector-specific instruments for aviation, rail, road, and maritime transport. RenovaBio does carry a quantified target — reducing the carbon intensity of transport fuels by approximately 12% by 2035 (via ~600 million CBIO credits) — but this is a fuel carbon-intensity metric, not an absolute transport-emissions target, and Climate Action Tracker (secondary) notes the NDC 'fails to include a fixed timeline for phasing out fossil fuels' in transport.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"The system's default score (0.00 → 'Aligned') again looks like a missing-data placeholder rather than a genuine evaluation. A quantified sub-target exists (RenovaBio's ~12% carbon-intensity cut by 2035), but it measures fuel carbon intensity rather than absolute transport emissions, so it cannot be directly benchmarked against AR6's 59%-by-2050 absolute-emissions metric — a genuine scope/metric mismatch.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-027,Canada,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"National Zero-Emission Vehicle (ZEV) sales mandate (regulation); Zero Emission Transit Fund (5,000 buses commitment); Zero-Emission Trucking Program ($75.8M)","Canada has a legally mandated national ZEV sales target (100% of new light-duty vehicle sales to be zero-emission by 2035, per the ZEV regulations referenced by CAT), plus dedicated federal funding programs for transit and freight electrification. However, secondary reporting (Climate Scorecard, Aug 2025) notes 'Canadians await a plan to replace carbon pricing and a revisit of Canada's mandate,' with 'EV sales... plummeting due to trade issues with the USA,' signalling political uncertainty around the mandate's durability under the new government.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"This is a more concrete, quantified transport commitment than most peers reviewed (a real sales-share mandate, not just qualitative language), but it measures new-vehicle sales share rather than absolute transport-sector emissions, so it cannot be directly benchmarked against AR6's 59%-by-2050 absolute-emissions metric — and its near-term political durability is now in question per secondary reporting.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-034,China,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2035 NDC (Nov 2025), transport sectoral targets","NDC commits to making 'new energy vehicles the mainstream in new vehicle sales' by 2035 (no numeric share given), shifting bulk cargo/container freight to waterways and rail, developing multimodal transport systems, and promoting cleaner energy in shipping and aviation. Asia Society (secondary) notes the NEV-mainstream goal is one of the targets that has 'largely already been achieved,' suggesting low incremental ambition. No absolute transport-emissions or numeric electrification-share target is set.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,1,Absent,Not Comparable,Medium,"The system's default score (1.00 → 'Absent') doesn't match the evidence — real, if qualitative, transport commitments exist in the NDC (freight modal shift, NEV mainstreaming, shipping/aviation). But with no numeric target and 'largely already achieved' status per independent commentary, it cannot be meaningfully benchmarked against AR6's quantified 59%-by-2050 absolute-emissions metric.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-041,EU,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"EU CO2 emission performance standards for cars and vans (Regulation, revised April 2023 under Fit for 55); proposed Dec 2025 Commission amendment","Legally binding fleet-wide targets require new cars and vans to cut CO2 emissions 55%/50% respectively by 2030 (vs 2021), reaching 100% (zero-emission) from 2035 — effectively banning sales of new CO2-emitting cars and vans EU-wide. However, a December 2025 Commission proposal would weaken this, 'allow[ing] a range of vehicle technologies to remain in play, including hybrids, plug-in hybrids, and range extenders... in addition to full EVs and hydrogen vehicles' (ESG Today, secondary), rolling back the 100% zero-emission requirement currently under review by Parliament and Council.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Significant,High,"This is the most stringent, legally binding new-vehicle target reviewed among all countries so far (100% zero-emission new sales by 2035, not just a share/mandate), which is directionally very strong even though its metric (new-vehicle sales) differs from AR6's absolute-transport-emissions benchmark. Critically, this target is actively being weakened as of December 2025 — a live rollback risk that should be watched in any update.",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-048,India,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"PM E-DRIVE scheme (successor to FAME I/II, launched 2024); COP26 100% EVs declaration (signed by India, 2021)","India signed the COP26 100% EVs declaration with a focus on two- and three-wheelers, and separately has floated a plan for all two-wheelers to be electric by 2026. PM E-DRIVE provides INR 36.79 billion (USD 438 million) in incentives for battery-powered two/three-wheelers, ambulances, trucks and other EVs, following FAME I/II's INR 100bn+115bn outlay. However, Climate Action Tracker (secondary) notes 'overall adoption of EV is slow,' and separately flags that 'plans to shift long-haul trucks to LNG risk locking in fossil fuel use.' No absolute transport-sector emissions target or economy-wide electrification-share target was found in the NDC itself.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,1,Absent,Not Comparable,Medium,"The system's default score (1.00 → 'Absent') undersells real, quantified financial incentive programs and an ambitious (if informal) two-wheeler EV target. But none of this is expressed as an absolute transport-emissions or economy-wide electrification-share figure comparable to AR6's 59%-by-2050 metric, and the concurrent LNG-truck lock-in risk cuts against the incentive schemes' net direction.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-055,Indonesia,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,Presidential Decree No. 55/2019; National Industry Masterplan (RIPIN) 2015-2035; Second NDC (Oct 2025) mitigation priorities,"Indonesia's SNDC lists 'accelerating electric vehicle and biofuel deployment' among its mitigation priorities. The quantified EV targets live in adjacent instruments: 15 million EVs by 2030 (1.97 million electric cars, 12.9 million electric motorcycles), and separate production targets of 6 million two/three-wheeler EVs by 2025 and 12 million by 2035 (RIPIN). Academic analysis (ADB, secondary, referencing the prior NDC cycle) notes transport mitigation historically relied mainly on 'biofuel and natural gas to substitute petroleum' rather than a structural transport-emissions target.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"The system's default score (0.00 → 'Aligned') again looks like a placeholder — real, quantified EV adoption and production targets exist, and the newest NDC references EV acceleration directly, but none of this is expressed as an absolute transport-sector emissions target comparable to AR6's 59%-by-2050 benchmark.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-062,Japan,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"Long-Term Strategy (LTS, 2021 update) vehicle electrification targets; 'Guidelines for Promoting the Development of EV Charging Infrastructure' (Oct 2023)","Japan sets sector-segmented targets: 100% of new passenger-vehicle sales to be 'electrified vehicles' by 2035; 20–30% of new light commercial vehicle sales electrified by 2030, rising to 100% electrified/decarbonised-fuel by 2040; early adoption of 5,000 electrified heavy vehicles in the 2020s. Charging infrastructure targets call for doubling installed ports to 300,000 by 2030. However, Japan's 'electrified vehicle' definition includes non-plug-in hybrids, and CAT (secondary) recommends Japan 'strengthen its EV target to phase out all fossil-fuel passenger (ICE) cars from new sales by 2035' — Japan also declined to sign the COP26 100% Zero-Emission Vehicles declaration despite leading the global auto industry, reportedly due to domestic automaker lobbying for hybrid carve-outs.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Significant,High,"This is the most granular, sector-segmented transport target structure reviewed among all countries (separate passenger/light-commercial/heavy-vehicle tracks with distinct year-by-year milestones), but the inclusion of non-plug-in hybrids under 'electrified vehicle' is a real definitional gap that independent analysis and Japan's own declined international pledge both point to.",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-069,Mexico,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2023 National Electric Mobility Strategy (ENME, SEMARNAT); Norma 163 (published Jan 2024, five years delayed)","The ENME sets qualitative priority areas across electric public transport, freight, private light vehicles, and alternative electric mobility, organized around five working groups (regulation, incentives/financing, pilot projects, city alliances, infrastructure/research). Norma 163 (Jan 2024) is a real, binding emissions-limit standard for new light vehicles — a more concrete regulatory instrument than most peers' purely aspirational transport language. However, EV adoption remains minimal: cumulative EV/PHEV/HEV sales from Jan 2016–June 2023 were only 2.5% of total light-vehicle sales, and no absolute transport-sector emissions or EV-sales-share numeric target was found in the NDC itself.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0.6,Significant,Not Comparable,Medium,"A genuinely binding regulatory standard (Norma 163) sets this apart from most peers' qualitative-only transport commitments, but there is still no absolute transport-emissions or numeric electrification-share target to benchmark against AR6's 59%-by-2050 metric, and real-world EV penetration remains very low.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
