Path / component,Status,Notes
manuscript/,Included,Blinded condensed manuscript and supplementary material in DOCX and PDF.
data/questions/,Included,"80 author-prepared questions, reference answers, reviewer answers, labels and notes. Non-adjudicated."
data/heatmap/,Included,"Original 119-cell system matrix, reporting matrix, evidence passages, formal 8-cell and diagnostic 35-cell files."
data/d6_transport/,Included,"Original D6, source-audited revised D6, evidence passages and full audit workbook."
data/claims/claim_labels.csv,Missing,Raw one-row-per-claim labels were not found and were not reconstructed. Schema and aggregate results included.
outputs/gpt4o_no_rag_outputs_80.csv,Missing,Raw outputs were not found and were not reconstructed. Schema and aggregate results included.
outputs/gpt4o_rag_outputs_80.csv,Missing,Raw outputs were not found and were not reconstructed.
prompts/rag_prompt.txt,Included,Archived RAG prompt.
prompts/no_rag_prompt.txt,Included,Archived no-RAG prompt.
prompts/gap_screening_prompt.txt,Missing,Exact archived prompt not found.
prompts/claim_judge_prompt.txt,Missing,Exact archived prompt not found.
scripts/calculate_classification_metrics.py,Included,Reproduces formal 8-cell metrics.
scripts/paired_cluster_bootstrap.py,Included,Functional script; raw claim rows are required for manuscript claim-level inference.
scripts/calculate_retrieval_metrics.py,Missing,Exact archived retrieval-metric script not found.
Review package,Complete,Structure and row-count validation passes.
End-to-end reproduction package,Incomplete,"Requires raw paired outputs, atomic claim labels, exact missing prompts and retrieval script."
