qid,model_condition,question,n_claims,supported,partial,unsupported,fabricated,grounding_score,per_answer_unsupported_fabricated_rate
F001,gpt4o_no_rag,What is India's target for cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030?,3,2,0,1,0,0.6667,0.3333
F002,gpt4o_no_rag,"By how much does India commit to reducing the emissions intensity of its GDP by 2030, compared to 2005 levels?",1,0,1,0,0,0.5,0.0
F003,gpt4o_no_rag,What is India's target for additional carbon sink creation through forest and tree cover by 2030?,2,2,0,0,0,1.0,0.0
F004,gpt4o_no_rag,When does China commit to achieving peak CO2 emissions under its NDC2?,3,3,0,0,0,1.0,0.0
F005,gpt4o_no_rag,What is China's 2030 target for installed capacity of wind and solar power?,3,2,0,1,0,0.6667,0.3333
F006,gpt4o_no_rag,What share of non-fossil fuels in primary energy consumption does China target by 2030?,3,2,0,1,0,0.6667,0.3333
F007,gpt4o_no_rag,What is the United States' 2030 economy-wide greenhouse gas emissions reduction target under its NDC2?,3,3,0,0,0,1.0,0.0
F008,gpt4o_no_rag,What is the United Kingdom's 2030 greenhouse gas reduction target and the baseline year used?,2,2,0,0,0,1.0,0.0
F009,gpt4o_no_rag,What net zero target has the UK set and what legislation underpins it?,4,4,0,0,0,1.0,0.0
F010,gpt4o_no_rag,What is the European Union's binding 2030 greenhouse gas reduction target under its NDC2?,2,2,0,0,0,1.0,0.0
F011,gpt4o_no_rag,What is Japan's 2030 greenhouse gas reduction target and what baseline year does it use?,2,2,0,0,0,1.0,0.0
F012,gpt4o_no_rag,What is Australia's 2030 emissions reduction target and net zero commitment year?,2,2,0,0,0,1.0,0.0
F013,gpt4o_no_rag,What is Brazil's 2030 absolute emissions reduction target and baseline year?,2,1,0,1,0,0.5,0.5
F014,gpt4o_no_rag,What are Indonesia's unconditional and conditional GHG reduction targets by 2030?,6,3,3,0,0,0.75,0.0
F015,gpt4o_no_rag,What are Indonesia's primary climate adaptation priorities identified in its NDC2?,10,3,2,5,0,0.4,0.5
