Cell ID,Entity,Dimension Code,Policy Dimension,Figure 2 System Score,Figure 2 System Class,Source / Note,Reporting Score,Reporting Class,Reporting Provenance,Formal Metric Treatment
GC-001,Argentina,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-002,Argentina,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-003,Argentina,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-004,Argentina,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-005,Argentina,D5,Loss and Damage,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-006,Argentina,D6,Transport Sector Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-007,Argentina,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-008,Australia,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-009,Australia,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-010,Australia,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-011,Australia,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-012,Australia,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-013,Australia,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-014,Australia,D7,LULUCF and Carbon Sinks,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-015,Brazil,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-016,Brazil,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-017,Brazil,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-018,Brazil,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-019,Brazil,D5,Loss and Damage,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-020,Brazil,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-021,Brazil,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-022,Canada,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-023,Canada,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.7,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-024,Canada,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.65,Significant,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
GC-025,Canada,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.85,Critical,Original candidate system output,Eligible only if part of the pre-specified 8-cell pilot
