Question Number,Question ID,Category,Agreement Label,Reviewer Notes,Adjudication Status
24,F024,FACTUAL,Full,,Not formally adjudicated
64,G009,GAP DETECTION,Partial,"consistent on the raw numbers, divergent on sourcing scope and on how confidently a ""contradiction"" can be declared.",Not formally adjudicated
42,C012,COMPARATIVE,Partial,"The existing answer captures the broad difference correctly but misses key document-specific evidence such as India's 1.56 metric tonnes per capita emission figure, the PM's direct CBDR quote, and China's legal demand for ""economy-wide absolute quantified emission reduction targets",Not formally adjudicated
56,G001,GAP DETECTION,Full,raw/NDC/China/NDC2_2021_China.pdf  raw/IPCC_AR6/WG3/WG3_Chapter06_EnergySystems_2022.pdf  raw/IPCC_AR6/WG3/WG3_SPM_2022.pdf,Not formally adjudicated
39,C009,COMPARATIVE,Full,,Not formally adjudicated
28,F028,FACTUAL,Full,,Not formally adjudicated
10,F010,FACTUAL,Full,,Not formally adjudicated
79,G024,GAP DETECTION,Partial,"Correct on the $100B gap and absent NDC2 commitments, but the $2.4 trillion figure and ""24× underfunding"" claim do not exist in your documents; the correct figure is $474B/year (5× gap).",Not formally adjudicated
67,G012,GAP DETECTION,Partial,"Correct on missing quantified targets and adaptation framing, but ""20–30% mitigation by 2050"" and ""14% of national emissions"" are not found anywhere in your documents.",Not formally adjudicated
44,C014,COMPARATIVE,Partial,"Agree: Indonesia is more structured (sector-specific targets, conditional/unconditional split, adaptation annex) and higher on specificity; Turkey gives one 41%-vs-BAU target with no sector breakdown.    Disagree: percentages are wrong — this 2021 doc says 29%/41% (p22), not 31.89%/43.20% (those are the 2022 Enhanced NDC). And ""Just Transition"" is Indonesia's strength, not Turkey's.",Not formally adjudicated
54,C024,COMPARATIVE,Partial,"The points on Japan's legislative grounding and South Korea's K-ETS monitoring linkage are reasonable. However, neither document explicitly mentions ""biennial transparency reporting"" — that term does not appear in either NDC2 text. Also, Japan's ""Basic Environment Plan"" is not referenced in the uploaded Japan NDC2 document. These appear to be external knowledge claims not supported by the uploaded documents, which was the agreed basis for this analysis.",Not formally adjudicated
18,F018,FACTUAL,Partial,More details needed in your answer,Not formally adjudicated
47,C017,COMPARATIVE,Partial,"right on the targets and the missing 34%-aligned figure, but it imports two facts not in the documents.",Not formally adjudicated
