Question Number,Question ID,Category,Difficulty,Question,Source Document Hint,Author-Prepared Reference Answer
24,F024,FACTUAL,MEDIUM,What global GHG emission reduction does IPCC AR6 WG3 recommend by 2030 to limit warming to 1.5 degrees Celsius?,WG3_SPM_2022,"IPCC AR6 WG3 states that limiting warming to 1.5°C requires global net anthropogenic CO2 emissions to decline by about 43 percent from 2019 levels by 2030 and reach net zero by around 2050. For all GHGs, a reduction of 43 percent is needed by 2030."
64,G009,GAP DETECTION,MEDIUM,Is there a contradiction between China's 2060 carbon neutrality commitment and IPCC AR6's recommendation for achieving net zero CO2 by around 2050?,NDC2_2021_China,"IPCC AR6 WG3 states that limiting warming to 1.5°C requires reaching net zero CO2 globally by around 2050. China's NDC2 commits to carbon neutrality by 2060, a full decade later than the IPCC global median requirement. IPCC acknowledges developing nations may peak later, but China is the world's largest emitter. Climate Action Tracker rates China's 2060 target as 'highly insufficient' for 1.5°C. The 10-year gap is a direct contradiction between China's long-term target and IPCC's 2050 net zero requirement."
42,C012,COMPARATIVE,HARD,How do India's and China's NDC submissions reference the principle of common but differentiated responsibilities (CBDR)?,NDC1_2015_India,"India's NDC2 prominently invokes CBDR and respective capabilities, arguing that as a developing nation with 24% of the world's population still lacking energy access, it should not be held to the same emission reduction standard as developed nations. India explicitly states its INDC is based on the 1992 Convention. China's NDC also references CBDR but places greater emphasis on domestic development goals and technological leadership in clean energy. India is more assertive in using CBDR as a framing device."
56,G001,GAP DETECTION,HARD,What is the gap between China's 2030 non-fossil energy target and IPCC AR6 recommendations for the energy sector?,NDC2_2021_China,"China targets 25% non-fossil fuels in primary energy by 2030. IPCC AR6 WG3 recommends 70-85% renewable electricity by 2050 for 1.5°C pathways. While these metrics differ (primary energy vs electricity), the gap is substantial. China's 2030 target trajectory would not reach IPCC's 2050 electricity benchmarks by 2050 at current rates. GAP: China's primary energy target (25% by 2030) is likely insufficient to meet the 70-85% renewable electricity share required by 2050, requiring much steeper deployment rates in 2030-2050."
39,C009,COMPARATIVE,HARD,How did China's renewable energy target evolve between NDC1 (2016) and NDC2 (2021)?,NDC2_2021_China,"China's NDC1 (2016) targeted 20% non-fossil fuels in primary energy by 2030 and 200 GW solar capacity. China's NDC2 (2021) increased the non-fossil fuel target to 25% by 2030 and added a new target of over 1,200 GW combined wind and solar capacity. This represents a significant strengthening of the capacity target but a modest increase in the energy mix target."
28,F028,FACTUAL,HARD,How did India's NDC2 (2022) update its renewable energy target compared to NDC1 (2015)?,NDC2_2022_India,India's NDC1 (2015) targeted 40 percent cumulative electric power installed capacity from non-fossil fuel-based energy resources by 2030. India's NDC2 (2022) increased this to 50 percent by 2030. The emissions intensity target was also updated from 33-35 percent to 45 percent below 2005 levels.
10,F010,FACTUAL,EASY,What is the European Union's binding 2030 greenhouse gas reduction target under its NDC2?,NDC2_2020_EU,"The European Union commits to a binding target of at least 55 percent net domestic reduction of greenhouse gas emissions by 2030 compared to 1990, enshrined in the European Climate Law."
79,G024,GAP DETECTION,HARD,What is the gap between G20 developed nations' climate finance commitments in their NDC2 and the IPCC-identified needs of developing nations?,WG2_Chapter17_DecisionMakingRisk_2022,IPCC AR6 WG3 identifies that developing nations need USD 2.4 trillion per year in climate finance by 2030. The developed G20 nations' NDC2 submissions do not contain specific climate finance commitments to developing nations — the USD 100 billion per year developed country pledge is referenced as context but not committed in NDC2 texts. The gap between IPCC-identified need (USD 2.4 trillion) and the often-unmet developed country pledge (USD 100 billion) represents a factor of 24x underfunding. GAP: Climate finance commitments are systematically absent from developed nation NDC2 texts.
67,G012,GAP DETECTION,HARD,Identify the gap between India's agriculture sector NDC commitments and IPCC AR6 recommendations for agricultural emissions.,NDC2_2022_India,"IPCC AR6 WG3 states that agriculture, forestry and land use can contribute 20-30% of total GHG mitigation by 2050. India's NDC2 references sustainable agriculture and climate-resilient farming but does not provide quantified agricultural emission reduction targets. India's NDC2 focuses more on adaptation in agriculture (food security, drought resistance) than on mitigation quantification. GAP: India's NDC2 lacks quantified agricultural mitigation targets, a significant gap given India's large agricultural sector contributing approximately 14% of national emissions."
44,C014,COMPARATIVE,HARD,"Compare the structural quality of Indonesia's NDC2 versus Turkey's NDC2 in terms of specificity, measurability, and time-bound targets.",NDC2_2022_Indonesia,"Indonesia's NDC2 is considerably more structured and detailed, providing sector-specific targets (energy, transport, forestry, agriculture, waste), both conditional and unconditional targets with specific percentages (31.89% and 43.20%), and a separate adaptation annex. Turkey's NDC2 provides a single 41% BAU reduction target without sector-level breakdown and limited adaptation specifics, though it includes a Just Transition section. Indonesia's NDC2 scores higher on measurability and specificity."
