Cell ID,Entity,Dimension Code,Policy Dimension,Figure 2 System Score,Figure 2 System Class,Source / Note
GC-001,Argentina,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-002,Argentina,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-003,Argentina,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-004,Argentina,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-005,Argentina,D5,Loss and Damage,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-006,Argentina,D6,Transport Sector Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-007,Argentina,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-008,Australia,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-009,Australia,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-010,Australia,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-011,Australia,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-012,Australia,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-013,Australia,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-014,Australia,D7,LULUCF and Carbon Sinks,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-015,Brazil,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-016,Brazil,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-017,Brazil,D3,Methane Reduction,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-018,Brazil,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-019,Brazil,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-020,Brazil,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-021,Brazil,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-022,Canada,D1,Renewable Energy Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-023,Canada,D2,Net Zero Pathway,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-024,Canada,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-025,Canada,D4,Adaptation Finance,0.85,Critical,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-026,Canada,D5,Loss and Damage,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-027,Canada,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-028,Canada,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-029,China,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-030,China,D2,Net Zero Pathway,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-031,China,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-032,China,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-033,China,D5,Loss and Damage,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-034,China,D6,Transport Sector Targets,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-035,China,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-036,EU,D1,Renewable Energy Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-037,EU,D2,Net Zero Pathway,0.75,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-038,EU,D3,Methane Reduction,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-039,EU,D4,Adaptation Finance,0.65,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-040,EU,D5,Loss and Damage,1,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-041,EU,D6,Transport Sector Targets,0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
GC-042,EU,D7,LULUCF and Carbon Sinks,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.
