Cell ID,Entity,Dimension Code,Policy Dimension,Figure 2 System Score,Figure 2 System Class,Source / Note,Reporting Score,Reporting Class,Reporting Provenance,Formal Metric Treatment
GC-006,Argentina,D6,Transport Sector Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-013,Australia,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-020,Brazil,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-027,Canada,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-034,China,D6,Transport Sector Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-041,EU,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-048,India,D6,Transport Sector Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-055,Indonesia,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-062,Japan,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-069,Mexico,D6,Transport Sector Targets,0.6,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-076,Russia,D6,Transport Sector Targets,0.7,Significant,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,1.0,Absent,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-083,Saudi Arabia,D6,Transport Sector Targets,1.0,Absent,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-090,South Africa,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-097,South Korea,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-104,Türkiye,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-111,United Kingdom,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.4,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
GC-118,United States,D6,Transport Sector Targets,0.0,Aligned,Figure 2 score from research paper Section 6.3; system class uses editable default mapping.,0.6,Significant,Post-hoc source-audited D6 screening value; evidence cut-off 1 March 2024,Excluded from post-hoc correction; formal metrics retain original pre-audit system class
