Cell ID,Entity,Dimension Code,Policy Dimension,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Cut-off Flag,Review Scope
GC-001,Argentina,D1,Renewable Energy Targets,"Argentina Second NDC (Dec 2020, updated Nov 2021), UNFCCC registry PDF, '2030 Vision — Energy' section, ~p.20; ICTU annex §3","NDC gives no quantified renewable/electricity target — only qualitative language that renewable generation 'will have increased significantly.' The binding 20%-by-2025 electricity target is in a separate instrument, Law 27.191, not in the NDC itself.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050; electricity's share of final energy rises toward ~48–58% by 2050.,,Exploratory 119-cell review
GC-002,Argentina,D2,Net Zero Pathway,"Second NDC, 'Long-term strategy' subsection ~p.30 (commits to submitting an LTS by 2050); Argentina LTS/ELP2050 (submitted UNFCCC Nov 2022)","NDC itself only commits to *submitting* a strategy 'with a view to achieving carbon-neutral development by 2050.' The actual net-zero target (GHG neutrality by 2050, all gases/sectors) sits in the separate 2022 LTS, not the NDC text.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s and require GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.,,Exploratory 119-cell review
GC-003,Argentina,D3,Methane Reduction,"Second NDC, ICTU §3.b/§5.d (methane covered only inside aggregate target, GWP-100 SAR); Global Methane Pledge membership (secondary: CCAC)","No specific, quantified methane reduction commitment in the NDC — CH4 is folded into the single 349 MtCO2e economy-wide target with no sectoral sub-target. Argentina is a Global Methane Pledge signatory (30% cut from 2020 levels by 2030, collective/global, non-binding, not a national NDC commitment).",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-004,Argentina,D4,Adaptation Finance,"Second NDC, Prologue/Executive Summary and §8 'Means of implementation'","35 adaptation measures listed, but with qualitative targets only. Single aggregate finance figure: mitigation+adaptation actions estimated at 'USD 15 billion, with international funding' — not disaggregated by adaptation vs mitigation, and no separate conditional adaptation-finance target.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap, noting most tracked climate finance still goes to mitigation and adaptation finance falls short of documented needs, especially for developing countries.",,Exploratory 119-cell review
GC-005,Argentina,D5,Loss and Damage,"Second NDC — confirmed absent (no dedicated section); First Biennial Transparency Report (BTR1, submitted Dec 2024), Chapter 6 'Pérdidas y daños', pp.~290–304 (outside NDC scope)","The NDC contains no dedicated loss-and-damage treatment — no L&D finance need, no liability/compensation reference, no mention of the Warsaw International Mechanism or Santiago Network. L&D first appears nationally in the 2024 BTR1 (e.g. impacts on 14.5M people and 800 lives lost to urban flooding, 1958–2021) but with no consolidated monetary L&D estimate or standalone finance figure — and this sits outside the NDC document itself.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating and unequally distributed, worsening with each increment of warming, with hard and soft adaptation limits already being reached in some systems.",,Exploratory 119-cell review
GC-006,Argentina,D6,Transport Sector Targets,"Second NDC, '2030 Vision — Transport' section, ~p.20","Commits qualitatively to intermodality, active mobility via urban land-use planning, and 'sustainable energy matrices ... focusing on gasification, biofuels, electrification of mobility and use of hydrogen,' with an 'Avoid-Shift-Improve approach' by 2030 — no quantified sectoral emissions or electrification target. Natural gas is framed as a transition fuel.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-007,Argentina,D7,LULUCF and Carbon Sinks,"Second NDC, ICTU §3 and §5, 'Market Mechanisms' subsection, National Circumstances (forestry)","LULUCF is not separately targeted — it is folded into the single net 349 MtCO2e economy-wide target, accounted via 2006 IPCC Guidelines with GWP-100 SAR values. NDC reserves Argentina's position on Article 6 market mechanisms pending negotiations and notes it does not estimate harvested-wood-products or natural-disturbance effects. No separate sink target or additionality safeguards beyond general REDD+ references.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential, 2020–2050), led by forest/ecosystem protection; poorly-planned afforestation risks conflicting with sustainability, and long-term additionality is uncertain.",,Exploratory 119-cell review
GC-008,Australia,D1,Renewable Energy Targets,"Australia's 2035 NDC (submitted UNFCCC Sept 18, 2025) + Electricity and Energy Sector Plan 2025 (DCCEEW), p.i and body text","Explicit quantified target: 'Renewable generation increases to reach 82%' of electricity by 2030, part of the package underpinning the NDC's 62–70% economy-wide 2035 target. Framed as enabling 'wide-spread electrification' of other sectors.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050; electricity share of final energy rises toward ~48–58% by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-009,Australia,D2,Net Zero Pathway,2035 NDC (Sept 2025); Climate Change Act 2022 (Cth) — legislates net zero by 2050; Net Zero Plan 2025,"NDC commits to 62–70% below 2005 levels by 2035, 'covering all sectors of the economy and GHGs' (NDC Partnership summary of registered NDC), reaffirming the legislated net-zero-by-2050 target. Climate Action Tracker (secondary): even the top of the CCA's own 1.5°C-referenced pathway 'only reduces domestic emissions 29% below 2005 levels by 2030 and 49% by 2035' excluding LULUCF — well short of the 41%/57% CAT says is required.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-010,Australia,D3,Methane Reduction,"Global Methane Pledge signatory (Oct 2022, DCCEEW/Minister media release); Resources Sector Plan 2025 (industry.gov.au) — methane abatement in coal/gas; Safeguard Mechanism reforms","Australia joined the Global Methane Pledge, 'committing to reduce global methane emissions across all sectors by at least 30% below 2020 levels by 2030' (non-binding, collective, not a national NDC sub-target). The Resources Sector Plan sets qualitative actions (coal-mine fugitive detection/abatement, Resources Methane Abatement Fund) with no quantified national methane target in the NDC itself.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
