Cell ID,Entity,Dimension Code,Policy Dimension,What to Assess,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Figure 2 System Score,Figure 2 System Class,Human Classification,Human Confidence,Reviewer Rationale,Evidence Sufficient?,Suggested Action,Cut-off Flag,Exact Match,Reviewer ID,Review Date,Review Scope
GC-015,Brazil,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"Brazil's Second/2035 NDC (submitted UNFCCC Nov 2024, COP29); Ten-Year Energy Expansion Plan (EPE); Novo PAC infrastructure programme","NDC states renewables (hydro, wind, solar) already comprise '89.1% of the country's electricity mix' and commits only qualitatively to 'seek to expand electricity generation with an increased share of technology and clean sources' — no fixed numeric 2035 renewable-share target. The Ten-Year Energy Expansion Plan projects renewables at ~86% of the electricity mix by 2034, 'indicating little change from current levels'; Novo PAC targets 80% of *added* capacity from renewables but allocates only ~12% of total plan investment to renewable energy.",IPCC AR6 WGIII Ch.6; SPM.3,"1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050. Climate Analytics' Brazil-specific 1.5°C-compatible benchmark (secondary, derived from AR6 methodology) is 97–98% renewables share in electricity generation.",0.7,Significant,Significant,High,"Brazil starts from an unusually high renewable baseline (89.1%), but the NDC sets no numeric target to lock in progress, and near-term plans (Ten-Year Energy Plan, Novo PAC) show the share stagnating or declining as gas and nuclear generation expand — falling short of the ~97-98% 1.5°C-aligned benchmark rather than closing on it.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-016,Brazil,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","2035 NDC (Nov 2024); National Mitigation Strategy (ENM, 2025); revised National Climate Change Policy (PNMC)","NDC includes a goal to reach 'climate neutrality by 2050 (for all GHGs)' covering all sectors, with an interim 2035 emissions ceiling of 0.85–1.05 GtCO2e (59–67% below 2005). The National Mitigation Strategy separately sets a more ambitious 2040 carbon-neutrality goal, but for CO2 only. Brazil has not yet submitted a Long-Term Strategy to the UNFCCC.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.7,Significant,Significant,High,"2050 all-GHG neutrality target exists and is timed consistently with AR6, but Climate Action Tracker (secondary) rates the 2035 NDC 'not 1.5°C aligned,' noting the ambition gap versus a modelled domestic pathway 'has grown compared to 2030,' and that the target is heavily reliant on transforming the land sector into a net sink rather than genuine cuts across the rest of the economy.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-017,Brazil,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"Global Methane Pledge signatory (COP26, 2021); NDC 'national mitigation objectives' text (Nov 2024); Plano Clima agriculture & livestock sector plan (2025)","Brazil signed the Global Methane Pledge, committing to 'reducing 30% of its methane emissions by 2030' (collective, non-binding, 2020 baseline). The NDC references reducing non-CO2 GHGs including methane as a mitigation objective, but per investigative reporting (SUMAÚMA, secondary) the agriculture sector plan under Plano Clima 'does not call for a reduction in emissions from agriculture by 2035' — agriculture/livestock is ~half of Brazil's emissions excl. LULUCF, with ~75% of that as methane and N2O from livestock (SEEG data via CAT).",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.85,Critical,Critical,High,"A quantified pledge exists (GMP, 30% by 2030) but the sector responsible for the large majority of Brazil's methane — livestock agriculture — is explicitly exempted from any 2035 reduction requirement in the sectoral implementation plan, which is a direct, well-evidenced disconnect between the pledge and actual sectoral policy.",Yes,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-018,Brazil,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"2035 NDC (Nov 2024) — sustainable sovereign bonds; National Adaptation Strategy (ENA, public consultation late 2024); National Adaptation Plan (submitted UNFCCC Feb 2026)","NDC notes Brazil issued '$2bn in sustainable sovereign bonds' (Nov 2023 and June 2024) whose proceeds fund deforestation control, biodiversity conservation, replenishing the Climate Fund, renewable energy/clean transport, and anti-poverty programs — a real but not adaptation-exclusive figure. Brazil has since completed and submitted a full National Adaptation Plan to the UNFCCC (Feb 2026), following 16 sectoral/thematic adaptation plans developed under Plano Clima.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.85,Critical,Significant,Medium,"Brazil now has one of the more complete adaptation planning architectures reviewed so far (ENA + 16 sectoral plans + formally submitted NAP), which argues against 'Critical'/near-absence; however, the only quantified finance figure found in the NDC itself is a mixed-use bond program, not a disaggregated adaptation-finance commitment, so full alignment can't be confirmed from NDC text alone.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-019,Brazil,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","2035 NDC (Nov 2024) — no dedicated loss-and-damage section found; COP30 Belem outcomes (Nov 2025, hosted by Brazil) — Loss and Damage Fund operationalisation, Fund for Responding to Loss and Damage (FRLD)","No specific loss-and-damage finance need, liability/compensation reference, or standalone L&D commitment was found in Brazil's own NDC text. As COP30 host, Brazil convened and helped finalize L&D architecture at the multilateral level (WIM, Santiago Network, FRLD operationalisation), but this is a convening/presidency role in the UNFCCC process rather than a national commitment within Brazil's own NDC.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Absent,Medium,"No relevant NDC-text commitment found, consistent with 'Absent.' Brazil's high-profile role hosting COP30's loss-and-damage outcomes is real and worth noting in context, but it is an institutional/process contribution, not a quantified national L&D commitment comparable to the other dimensions' evidence bar.",Partly,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-020,Brazil,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2035 NDC (Nov 2024), transport sectoral mitigation plan text; RenovaBio (National Biofuels Policy, Law 13,576/2017); Future Fuel Law (Law 14,993/2024)","NDC transport plan commits to 'replacing fossil fuels with electricity and biofuels,' with hydrogen anticipated by 2035 and sub-sector-specific instruments for aviation, rail, road, and maritime transport. RenovaBio does carry a quantified target — reducing the carbon intensity of transport fuels by approximately 12% by 2035 (via ~600 million CBIO credits) — but this is a fuel carbon-intensity metric, not an absolute transport-emissions target, and Climate Action Tracker (secondary) notes the NDC 'fails to include a fixed timeline for phasing out fossil fuels' in transport.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"The system's default score (0.00 → 'Aligned') again looks like a missing-data placeholder rather than a genuine evaluation. A quantified sub-target exists (RenovaBio's ~12% carbon-intensity cut by 2035), but it measures fuel carbon intensity rather than absolute transport emissions, so it cannot be directly benchmarked against AR6's 59%-by-2050 absolute-emissions metric — a genuine scope/metric mismatch.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-021,Brazil,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets","2035 NDC / National Mitigation Strategy sectoral contributions (2025); Tropical Forests Forever Fund (TFFF, launched COP30 Nov 2025)","Following the 2035 NDC, Brazil's National Mitigation Strategy and Plano Clima sectoral contributions reveal the target relies on 'large reductions in the land use, land use change and forestry (LULUCF) sector, while projected emissions in other key sectors such as industry, agriculture, energy and transport remain stable or even increase' (Climate Action Tracker, secondary, characterizing the published sectoral plan data). Brazil launched the Tropical Forests Forever Fund at COP30 (raised $5.5–6.7bn of a $25bn goal), a performance-based payment mechanism rewarding standing forest, and the NDC signals intent to use Article 6 to sell part of its emission reductions internationally.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Critical,High,"LULUCF is not just embedded but is explicitly the primary mechanism carrying Brazil's target, while CAT states this approach is 'effectively slowing down the much needed fossil fuel phase out and emissions reductions in other sectors' — a direct, well-evidenced substitution risk (using forest-sector gains to avoid decarbonising energy, industry, transport and agriculture) that argues for 'Critical' over the system's 'Significant.'",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-029,China,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"China's 2035 NDC (submitted UNFCCC Nov 3, 2025, announced by Xi Jinping Sept 24, 2025)","NDC commits to increasing non-fossil energy to 'over 30% of total energy consumption by 2035' (up from a 25% target for 2030) and raising installed wind and solar capacity to 'over 3.6 TW by 2035 (≈ six times 2020 levels).' Per Climate Action Tracker (secondary), China 'has overachieved its 2030 NDC targets for renewable energy capacity... in 2024' and remains on track for its 25% non-fossil share under current policy.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.6,Significant,Significant,High,"Absolute capacity targets are large, quantified, and have a strong track record of overachievement, but the NDC metric (non-fossil share of *total energy*, not electricity) differs from AR6's electricity-share benchmark, and coal still supplied 58% of power generation in 2024 with 291 GW of new coal capacity in the pipeline (CAT, secondary) — the NDC calls for 'strict control' of fossil consumption rather than a phase-out, which caps this below 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-030,China,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory",2035 NDC (Nov 2025); Xi Jinping's 2020 UNGA net-zero-by-2060 announcement,"For the first time, China's NDC sets an absolute (not intensity-based) target: reduce economy-wide net GHG emissions 7–10% below peak levels by 2035, 'striving to do better,' reaffirming net-zero by 2060. Climate Action Tracker (secondary) notes this 'represents a shift from intensity-based targets to absolute emission reductions for the first time, albeit from an unclear baseline' since China's peak year is not clearly defined.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.6,Significant,Significant,High,"A real structural shift to an absolute target is genuine progress, but CAT rates it 'not 1.5°C compatible' and multiple outlets (Climate Home News, CFR) characterized the 7–10% figure as 'timid'/'underwhelming' for the world's largest emitter, with the 2060 net-zero date itself a decade later than AR6's net-zero-CO2 window.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-031,China,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"2035 NDC (Nov 2025), non-CO2 GHG targets; China's Methane Emissions Control Action Plan (Nov 2023); 15th Five-Year Plan","The 2035 NDC covers all GHGs for the first time (previously CO2-only) and sets quantified non-CO2 targets — cutting HFC production/consumption by 'at least 30%' by 2035 and raising livestock manure reuse to over 85% by 2035 — but sets no standalone quantitative methane target. Climate Action Tracker (secondary): 'the absence of standalone quantitative targets for methane... limits accountability,' and China's 2023 Methane Action Plan 'does not specify any quantitative emission reduction' target at all. The 15th FYP's non-CO2 control projects (covering methane, N2O, HFCs together) target just 30 MtCO2e of reduction — small relative to China's methane footprint, especially unaddressed coal-mine methane.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.65,Significant,Critical,High,"Despite years of bilateral commitments (2021 US-China Joint Glasgow Declaration) and a dedicated action plan, China has never published a quantified national methane target, and CAT explicitly flags coal-mine methane — a major, well-understood source — as still lacking dedicated measures. This is a clearer 'no quantified commitment' case than Canada's (which has a real 35%-by-2030 target) or even Brazil's (GMP membership at least sets a number).",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
